city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Dacun,34.7201,109.0549,China,CN,Shaanxi,,41763,41763
Litian Gezhuang,39.8151,119.0219,China,CN,Hebei,,41676,41676
Tanxia,23.9475,115.5361,China,CN,Guangdong,,41181,41181
Nanbaishezhen,37.7526,114.8524,China,CN,Hebei,,41138,41138
Wancheng,37.6273,114.5324,China,CN,Hebei,,41080,41080
Nanmeng,39.1773,116.3751,China,CN,Hebei,,41019,41019
Yingzhou Linchang,18.4199,109.8553,China,CN,Hainan,,40925,40925
Anyuan,34.8839,105.2758,China,CN,Gansu,,40828,40828
Xinleitou,37.9752,115.2106,China,CN,Hebei,,40761,40761
Baichigan,39.5275,115.8564,China,CN,Hebei,,40748,40748
Gaolincun,39.0887,115.6617,China,CN,Hebei,,40729,40729
Tiegan,38.1536,115.3248,China,CN,Hebei,,40683,40683
Zhujiezhen,23.7460,104.8990,China,CN,Yunnan,,40623,40623
Yangtangxu,21.6172,110.0319,China,CN,Guangdong,,40616,40616
Taicheng,38.7206,113.2437,China,CN,Shanxi,minor,40145,40145
Oroqen Zizhiqi,50.5667,123.7167,China,CN,Inner Mongolia,minor,40128,40128
Longtang,26.1984,107.7946,China,CN,Guizhou,,40094,40094
Matoupu,38.3198,114.7207,China,CN,Hebei,,40010,40010
Alashankou,45.1714,82.5731,China,CN,Xinjiang,minor,40000,40000
Yian,47.8804,125.3000,China,CN,Heilongjiang,minor,39924,39924
Zhongbai,26.7723,107.8883,China,CN,Guizhou,,39893,39893
Jiaozishan,26.3342,105.9324,China,CN,Guizhou,,39551,39551
Xinlizhuang,39.2832,116.1727,China,CN,Hebei,,39474,39474
Sanjiang,24.7265,112.2884,China,CN,Guangdong,minor,39398,39398
Niutuo,39.2618,116.3421,China,CN,Hebei,,38947,38947
Yangfang,40.5723,115.0301,China,CN,Hebei,,38922,38922
Changchunpu,27.2388,105.1850,China,CN,Guizhou,,38896,38896
Xiwanzi,40.9717,115.2737,China,CN,Hebei,minor,38879,38879
Weibo,38.0290,115.2174,China,CN,Hebei,,38748,38748
Tianchang,37.9987,114.0183,China,CN,Hebei,,38656,38656
Sungandiancun,36.2221,115.3246,China,CN,Hebei,,38542,38542
Lanyi,38.7048,111.5601,China,CN,Shanxi,minor,38431,38431
Shijiazhuangnan,37.9383,114.4453,China,CN,Hebei,,38403,38403
Xiaguanying,35.9427,104.1717,China,CN,Gansu,,38342,38342
Bayan,36.1148,102.2476,China,CN,Qinghai,,38315,38315
Siyang,27.2116,108.7463,China,CN,Guizhou,minor,38261,38261
Monan,38.2621,115.9504,China,CN,Hebei,,38158,38158
Dengtangcun,23.6861,116.5284,China,CN,Guangdong,,37983,37983
Yamen,22.3017,113.0510,China,CN,Guangdong,,37963,37963
Sanchahe,36.3780,106.0869,China,CN,Ningxia,,37675,37675
Yanqi,42.0608,86.5686,China,CN,Xinjiang,minor,37649,37649
Xinqiao,39.2694,116.0797,China,CN,Hebei,,37583,37583
Shiji,22.2198,112.8531,China,CN,Guangdong,,37402,37402
Fengguangcun,23.9062,116.6984,China,CN,Guangdong,,37337,37337
Dajiecun,36.2965,115.2071,China,CN,Hebei,,37290,37290
Jelilyüzi,43.9749,81.5328,China,CN,Xinjiang,,37238,37238
Tunzi,35.5782,107.3699,China,CN,Gansu,,37179,37179
Baishi Airikecun,40.8035,80.3700,China,CN,Xinjiang,,36982,36982
Shaxi,22.3067,113.1469,China,CN,Guangdong,,36957,36957
Shengli,37.9803,106.1949,China,CN,Ningxia,minor,36937,36937
Zuojiawu,39.9514,118.1511,China,CN,Hebei,,36843,36843
Elixku,38.6803,77.3106,China,CN,Xinjiang,,36793,36793
Wangtuan,36.8624,105.9915,China,CN,Ningxia,,36729,36729
Xinpo,21.6645,110.8911,China,CN,Guangdong,,36699,36699
Daying,39.0786,116.1076,China,CN,Hebei,,36660,36660
Anzhou,38.8663,115.8124,China,CN,Hebei,,36619,36619
Dabutou,36.0708,112.8744,China,CN,Shanxi,,36556,36556
Bulicun,24.3670,116.2740,China,CN,Guangdong,,36526,36526
Haomen,37.3757,101.6220,China,CN,Qinghai,minor,36515,36515
Danihe,39.8489,119.4210,China,CN,Hebei,,36313,36313
Akto,39.1468,75.9411,China,CN,Xinjiang,,36270,36270
Beiya,36.4640,104.4513,China,CN,Gansu,,36241,36241
Yejituo,39.8634,118.6645,China,CN,Hebei,,36218,36218
Xindian,37.1341,114.8833,China,CN,Hebei,,36195,36195
Pingshang,23.3974,115.8842,China,CN,Guangdong,,36140,36140
Zhaoqiao,37.9398,115.9499,China,CN,Hebei,,36123,36123
Daiyue,39.5204,112.8168,China,CN,Shanxi,minor,35894,35894
Mengdong,23.1499,99.2462,China,CN,Yunnan,minor,35741,35741
Zhentang,21.8662,110.6996,China,CN,Guangdong,,35616,35616
Rongwo,35.5077,102.0121,China,CN,Qinghai,minor,35612,35612
Shangzhuangcun,23.5226,116.7134,China,CN,Guangdong,,35570,35570
Dama,30.5009,120.3413,China,CN,Zhejiang,,35357,35357
Nanzhiqiu,37.7492,115.2357,China,CN,Hebei,,35165,35165
Shenjiabang,30.5783,120.8193,China,CN,Zhejiang,,34963,34963
Douzhuang,39.4323,116.0583,China,CN,Hebei,,34960,34960
Yangquan,37.0749,111.5541,China,CN,Shanxi,,34570,34570
Shangzhen,33.7116,110.2575,China,CN,Shaanxi,,34481,34481
Yihezhuang,39.1373,116.0744,China,CN,Hebei,,34359,34359
Diaowo,39.4812,116.0761,China,CN,Hebei,,34304,34304
Matou,39.5503,116.1063,China,CN,Hebei,,34281,34281
Zhangzhengqiao,38.4042,106.3567,China,CN,Ningxia,,34256,34256
Lixingcun,23.0825,116.3698,China,CN,Guangdong,,34254,34254
Datang,26.3909,108.0764,China,CN,Guizhou,,34169,34169
Youwangjie,24.8695,99.1067,China,CN,Yunnan,,33978,33978
Peyziwat,39.4905,76.7389,China,CN,Xinjiang,minor,33971,33971
Guying,38.0887,114.5560,China,CN,Hebei,,33884,33884
Zhaitangcun,24.5218,112.3486,China,CN,Guangdong,,33876,33876
Tekes,43.2181,81.8372,China,CN,Xinjiang,minor,33740,33740
